new_id;id:ID;names;size;labels;rho
245;LPL;LPL;381;gene:protein;0.5694926761538462
246;intestine;intestine;1455;enzyme source;0.5014505902349486
247;plastoglobule;plastoglobule;4743;cellular component;0.3333333399999975
248;Magnesium;Magnesium;169;drug;0.541543201546392
249;cyst;cyst;612;enzyme source;0.5
250;Potassium;Potassium;660;drug;0.5260202065656564
251;A_band;A band;2609;cellular component;0.5001579779620854
252;parathyroid hormone;parathyroid hormone;290;other;0.5239297769182392
253;hypercalcemia;hypercalcemia;1773;disease;0.2001236743915358
254;S_phase;S phase;1002;biological process;0.5026122637383176
255;NEUROG3;NEUROG3;14;gene:protein;0.7411278649999999
256;DNA_replication;DNA replication;504;biological process;0.3603966235389617
257;Cisplatin;Cisplatin;372;drug;0.5073817269281046
258;TP53BP1;TP53BP1;375;gene:protein;0.6878589179310347
259;insulinoma_cell;insulinoma cell;5;enzyme source;0.5
260;insulin_secretion;insulin secretion;218;biological process;0.5
261;MMUT;MMUT;131;gene:protein;0.570164935
262;Ciprofloxacin;Ciprofloxacin;215;drug;0.6008064717073172
263;etoposide;etoposide;1901;drug;0.5
264;IAPP;IAPP;23;gene:protein;0.6097505066666667
265;dedifferentiation;dedifferentiation;145;biological process;0.2032928080263155
266;replication_fork;replication fork;49;cellular component;0.3333333399999998
267;M_phase;M phase;781;biological process;0.501136800025974
268;GCG;GCG;330;gene:protein;0.6168068829999999
269;SST;SST;128;gene:protein;0.5662602290476192
270;DNA-binding_transcription_factor_activity__RNA_polymerase_II-specific;DNA-binding transcription factor activity RNA polymerase II-specific;4469;molecular function;0.5
271;DNA_topoisomerase_type_II_(double_strand_cut__ATP-hydrolyzing)_activity;DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity;447;molecular function;0.5
272;CDKN2B;CDKN2B;249;gene:protein;0.6691683593442621
273;SIX2;SIX2;200;gene:protein;0.6286435142857142
274;SLC2A1;SLC2A1;52;gene:protein;0.6809264746666667
275;MIF;MIF;1823;gene:protein;0.6516924561538459
276;MAFA;MAFA;62;gene:protein;0.6486616263636363
277;NKX6-1;NKX6-1;3;gene:protein;0.6437985933333333
278;ST3GAL4;ST3GAL4;151;gene:protein;0.5196920269767442
279;IGF1;IGF1;3638;gene:protein;0.6047488508995812
280;osteoclast;osteoclast;4384;enzyme source;0.5
281;femur;femur;788;enzyme source;0.5
282;SCYL1;SCYL1;163;gene:protein;0.6009466740425532
283;osteoblast;osteoblast;1423;anatomical entity:enzyme source;0.5
284;TRRAP;TRRAP;1157;gene:protein;0.583196574466403
285;TNFSF11;TNFSF11;8532;gene:protein;0.5970915659199006
286;growth_hormone_receptor_binding;growth hormone receptor binding;67;molecular function;0.5
287;KRT8;KRT8;4397;gene:protein;0.6264655592917369
288;dendritic_spine_neck;dendritic spine neck;2132;cellular component;0.5000955032416503
289;biosynthetic_process;biosynthetic process;18994;biological process;0.5060861979062762
290;STAT1;STAT1;5501;gene:protein;0.6652137630786027
291;JAK3;JAK3;521;gene:protein;0.6483113028125002
292;CSF1;CSF1;1101;gene:protein;0.6168221179432625
293;Erythropoietin;Erythropoietin;766;drug;0.514097297195122
294;Baricitinib;Baricitinib;30;drug;0.5294870957142856
295;epiphyseal_growth_plate;epiphyseal growth plate;60;enzyme source;0.5023809533333333
296;brain;brain;6685;enzyme source;0.0999999999999963
297;DMD;DMD;3801;gene:protein;0.5684692763824288
298;osteoclast_differentiation;osteoclast differentiation;533;biological process;0.5
299;ABCG2;ABCG2;2181;gene:protein;0.6197166309795916
300;BEND3;BEND3;46;gene:protein;0.5499085128571428
301;SYCE1L;SYCE1L;103;gene:protein;0.5
302;ABCB1;ABCB1;3848;gene:protein;0.6034232118367348
303;Tunicamycin;Tunicamycin;187;drug;0.5
304;ABC-type_xenobiotic_transporter_activity;ABC-type xenobiotic transporter activity;453;molecular function;0.502066677107843
305;Bortezomib;Bortezomib;1401;drug;0.5
306;UBA1;UBA1;549;gene:protein;0.6092261689655174
307;SNORA73A;SNORA73A;1290;gene;0.5001118068895349
308;H2AX;H2AX;1946;gene:protein;0.6393153341071429
309;reticulum;reticulum;1152;enzyme source;0.5
310;acute_lymphoblastic_leukemia_cell;acute lymphoblastic leukemia cell;646;enzyme source;0.4982586736038187
311;basal_cell;basal cell;176;enzyme source;0.5
312;mitoxantrone;mitoxantrone;352;drug;0.5
313;TIMM8A;TIMM8A;2320;gene:protein;0.5790955937450197
314;SHB;SHB;6;gene:protein;0.6141482875
315;glycerate_kinase_activity;glycerate kinase activity;70;molecular function;0.5908352759999999
316;column;column;3807;enzyme source;0.5
317;Ginseng;Ginseng;237;drug;0.5
318;TSKU;TSKU;18;gene:protein;0.5
319;AP5Z1;AP5Z1;152;gene:protein;0.6124690753333333
320;Aminohippuric_acid;Aminohippuric acid;8665;drug;0.5174919089890987
321;MSMP;MSMP;1291;gene:protein;0.5330556813259665
322;SPACA9;SPACA9;67;gene:protein;0.5488192355555556
323;prepulse_inhibition;prepulse inhibition;1180;biological process;0.5
324;lytic_vacuole;lytic vacuole;2;cellular component;0.108405374
325;GO:0005764;GO:0005764;3;other;0.527242
326;RGS4;RGS4;104;gene:protein;0.608124482
327;PTBP2;PTBP2;344;gene:protein;0.5283355774999999
328;CD209;CD209;174;gene:protein;0.6497530680487803
329;CD34;CD34;10127;gene:protein;0.6010899891747146
330;viral_nucleocapsid;viral nucleocapsid;4336;cellular component;0.5002732373333334
331;MYOZ2;MYOZ2;229;gene:protein;0.5558682575862067
332;IL3RA;IL3RA;985;gene:protein;0.5786665400704228
333;CD22;CD22;996;gene:protein;0.6245650649677417
334;CST8;CST8;101;gene:protein;0.5088023384615384
335;B-lymphoblastic_leukemia/lymphoma;B-lymphoblastic leukemia/lymphoma;895;disease;0.5163695223741007
336;TNFRSF13B;TNFRSF13B;691;gene:protein;0.5796764367777776
337;chronic_lymphocytic_leukemia;chronic lymphocytic leukemia;1067;disease;0.1827192639166658
338;CD79B;CD79B;376;gene:protein;0.6669494515384617
339;CARTPT;CARTPT;776;gene:protein;0.5390142776470587
340;mRNA_cis_splicing__via_spliceosome;mRNA cis splicing via spliceosome;3863;biological process;0.5
341;transduction;transduction;2799;biological process;0.5
342;acute_lymphoblastic_leukemia_cell_line;acute lymphoblastic leukemia cell line;15;enzyme source;0.5
343;CD33;CD33;1990;gene:protein;0.63946310329932
344;brain_disease;brain disease;184;disease;0.5141110361445782
345;SLC7A4;SLC7A4;1535;gene:protein;0.5284253912000002
346;MLC1;MLC1;1280;gene:protein;0.6043650827372263
347;HAVCR2;HAVCR2;2409;gene:protein;0.6240594977734377
348;T-cell_adult_acute_lymphocytic_leukemia;T-cell adult acute lymphocytic leukemia;213;disease;0.5
349;CD28;CD28;3803;gene:protein;0.6503638470694867
350;CCR4;CCR4;341;gene:protein;0.6358691654545454
351;T_cell_receptor_complex;T cell receptor complex;14003;cellular component;0.5000325118934911
352;adult_T-cell_leukemia;adult T-cell leukemia;104;disease;0.5
353;NOS2;NOS2;1709;gene:protein;0.6349116709821426
354;peripheral_T-cell_lymphoma;peripheral T-cell lymphoma;183;disease;0.1708157277868854
355;HBZ;HBZ;594;gene:protein;0.5281422984615385
356;BATF3;BATF3;73;gene:protein;0.6047481460000002
357;PRKCB;PRKCB;47;gene:protein;0.7008859855555555
358;NFASC;NFASC;7271;gene:protein;0.1311132706435826
359;CD58;CD58;37;gene:protein;0.6655962154545455
360;DNA_hypermethylation;DNA hypermethylation;130;biological process;0.5
361;IRF2BP2;IRF2BP2;6;gene:protein;0.5958258649999999
362;CARD11;CARD11;188;gene:protein;0.6646248016216216
363;ICOS;ICOS;442;gene:protein;0.6552885268421055
364;CD80;CD80;1240;gene:protein;0.6669642709470754
365;lymph_node;lymph node;5061;enzyme source;0.1255850485538116
366;node;node;5403;enzyme source;0.3333333399999995
367;peripheral_blood;peripheral blood;4162;enzyme source;0.5
368;PDGFRA;PDGFRA;196;gene:protein;0.6607167268115941
369;Avapritinib;Avapritinib;50;drug;0.51359866
370;clathrin-dependent_endocytosis;clathrin-dependent endocytosis;205;biological process;0.4751037094029851
371;stem_cell_factor_receptor_activity;stem cell factor receptor activity;16563;molecular function;0.6023237713108263
372;ethanolamine-phosphate_cytidylyltransferase_activity;ethanolamine-phosphate cytidylyltransferase activity;507;molecular function;0.5
373;GDF15;GDF15;1764;gene:protein;0.6345853841935486
374;seed;seed;1187;enzyme source;0.5
375;Ethanol;Ethanol;2632;drug;0.382899699865772
376;inflammatory_response;inflammatory response;7961;biological process;0.5035456320657268
377;colon;colon;3984;enzyme source;0.5
378;ROS1;ROS1;11280;gene:protein;0.5432010827358488
379;mitochondrial_membrane;mitochondrial membrane;480;cellular component;0.3333333399999997
380;NFE2L2;NFE2L2;7913;gene:protein;0.6336239935425102
381;mitochondrion;mitochondrion;3953;cellular component;0.3362719482626295
382;DMSO;DMSO;2695;other;0.5117824965290805
383;spleen;spleen;2904;enzyme source;0.5
384;chronic_obstructive_pulmonary_disease;chronic obstructive pulmonary disease;2872;disease;0.3556884765146605
385;necrotic_cell_death;necrotic cell death;4253;biological process;0.5002912854108774
386;Cholesterol;Cholesterol;3143;drug;0.340691641735535
387;cholesterol_biosynthetic_process;cholesterol biosynthetic process;100;biological process;0.5112105156896551
388;prostate_gland;prostate gland;9454;enzyme source;0.5
389;TG;TG;760;gene:protein;0.5015289450980392
390;gastric_cancer_cell;gastric cancer cell;241;enzyme source;0.5
391;leukemia;leukemia;265;disease;0.1237257047272726
392;bile;bile;629;enzyme source;0.2346153846153841
393;chylomicron_remnant;chylomicron remnant;1;cellular component;0.5
394;bile_acid_biosynthetic_process;bile acid biosynthetic process;13;biological process;0.5
395;cholesterol_import;cholesterol import;15;biological process;0.5
396;LDLR;LDLR;393;gene:protein;0.5996716558536586
397;cholesterol_metabolic_process;cholesterol metabolic process;5;biological process;0.5326088200000001
398;FLT1;FLT1;773;gene:protein;0.642830907797619
399;FOLH1;FOLH1;921;gene:protein;0.5558358185156249
400;MIP;MIP;227;gene:protein;0.5461609603508771
401;PSAT1;PSAT1;2016;gene:protein;0.6096955819877674
402;BCR;BCR;4029;gene:protein;0.5855877004387571
403;prostate_cancer;prostate cancer;20;disease;0.5051313315789474
404;needle;needle;1575;enzyme source;0.5
405;Fanconi_anemia_complementation_group_E;Fanconi anemia complementation group E;549;disease;0.5351085361048689
406;head;head;1980;anatomical entity:enzyme source;0.25
407;IL15;IL15;2601;gene:protein;0.6477953843850274
408;IL2;IL2;4469;gene:protein;0.6181906195845143
409;natural_killer_cell_activation;natural killer cell activation;193;biological process;0.4874936777499999
410;natural_killer_cell;natural killer cell;7210;enzyme source;0.500528062703583
411;PRF1;PRF1;1422;gene:protein;0.6401158315624994
412;GZMA;GZMA;127;gene:protein;0.6373678997000002
413;Daratumumab;Daratumumab;375;drug;0.5
414;carfilzomib;carfilzomib;2043;drug;0.5
415;GEM;GEM;1654;gene:protein;0.6185785888888886
416;diffuse_large_B-cell_lymphoma;diffuse large B-cell lymphoma;239;disease;0.2905223507407405
417;pheochromocytoma;pheochromocytoma;147;disease;0.5014204545454546
418;malignant_pheochromocytoma;malignant pheochromocytoma;1;disease;0.26076296
419;CYLD;CYLD;1828;gene:protein;0.6188507418867926
420;BTK;BTK;2551;gene:protein;0.6319154572183096
421;Rituximab;Rituximab;5170;drug;0.5219462209566184
422;ibrutinib;ibrutinib;1933;drug;0.5
423;thiol-dependent_ubiquitin-specific_protease_activity;thiol-dependent ubiquitin-specific protease activity;231;molecular function;0.5042277387218046
424;RELA;RELA;3726;gene:protein;0.651919354358553
425;salivary_gland_adenoid_cystic_carcinoma;salivary gland adenoid cystic carcinoma;8;disease;0.5
426;B-lymphocyte_cell_line;B-lymphocyte cell line;55;enzyme source;0.4868667943902439
427;EPB42;EPB42;2059;gene:protein;0.5186198933128833
428;EGR1;EGR1;1129;gene:protein;0.6425021529473685
429;SNAI1;SNAI1;757;gene:protein;0.659699061646342
430;SLC12A9;SLC12A9;248;gene:protein;0.52080259
431;regulation_of_cell_cycle;regulation of cell cycle;3520;biological process;0.505887648430973
432;HIF1A;HIF1A;6606;gene:protein;0.6176240980991734
433;BRCA1;BRCA1;2650;gene:protein;0.6453753490954776
434;hepatocellular_carcinoma;hepatocellular carcinoma;1678;disease;0.1787698075388838
435;epidermal_growth_factor_receptor_binding;epidermal growth factor receptor binding;1380;molecular function;0.493113797230514
436;stomach_cancer;stomach cancer;2116;disease;0.5035938621423025
437;angiogenesis;angiogenesis;6836;biological process;0.1141323627201715
438;mitogen_activated_protein_kinase_signaling_pathway;mitogen activated protein kinase signaling pathway;49;pathway;0.5
